Updated,13/09/2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm]
SiIV,1393,CMP,28.0855,71748.355,0.002,0,Griesmann:2000:L113,1393.760177,0.000039,8.4,2\rm{p}^63\rm{s}~^2\rm{S}_{1/2},2\rm{p}^63\rm{p}~^2\rm{P}_{3/2},g_1,33.49,45.14,0.513,8.80E+08,823,40
,,ISO,30; 29.97377017,71748.5517,,3,Berengut:2003:022502,1393.7563570,,,,,,,,3.087%,,,
,,ISO,29; 28.976494700,71748.4513,,3,Berengut:2003:022502,1393.7583075,,,,,,,,4.683%,,,
,,ISO,28; 27.9769265325,71748.3435,,3,Berengut:2003:022502,1393.7604003,,,,,,,,92.230%,,,
,1402,CMP,28.0855,71287.376,0.002,0,Griesmann:2000:L113,1402.772912,0.000039,8.4,,2\rm{p}^63\rm{p}~^2\rm{P}_{1/2},g_2,,,0.254,8.62E+08,361,15
,,ISO,30; 29.97377017,71287.5743,,3,Berengut:2003:022502,1402.7690089,,,,,,,,3.087%,,,
,,ISO,29; 28.976494700,71287.4731,,3,Berengut:2003:022502,1402.7710015,,,,,,,,4.683%,,,
,,ISO,28; 27.9769265325,71287.3644,,3,Berengut:2003:022502,1402.7731393,,,,,,,,92.230%,,,
END,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Measurements,,,,,,,,,,,,,,,,,,,
Transition,w [/cm],dw [/cm],Reference,w [/cm],dw [/cm],Reference/Note,l [Ang.],dl [Ang.],,,,,,,,,,,
1393,71748.355,0.002,Griesmann:2000:L113,71748.355,0.002,Griesmann:2000:L113,1393.760177,0.000039,,,,,,,,,,,
1402,71287.376,0.002,Griesmann:2000:L113,71287.376,0.002,Griesmann:2000:L113,1402.772912,0.000039,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Isotopes,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],"Normal, specific and total mass shift constants [GHz/amu], the field shift constant and deviation in mean-square nuclear radii [Berengut:2003:022502]",,,,,dnu [MHz],dw [/cm],w [/cm],dw [/cm],l [Ang.],dl [Ang.],,,,,,,
,,k_NMS [GHz amu],k_SMS [GHz amu],k_MS [GHz amu],F [MHz/fm^2],d<r^2> [fm^2],,,,,,,,,,,,,
1393,,-1180,-1505,-2685,-485,,,,71748.355,0.002,1393.760177,0.000039,,,,,,,
30,3.087%,,,,,0.3151,6240.03,0.20815,71748.5517,,1393.7563570,,,,,,,,
29,4.683%,,,,,0.1585,3229.80,0.10773,71748.4513,,1393.7583075,,,,,,,,
28,92.230%,,,,,,0.00,0.00000,71748.3435,,1393.7604003,,,,,,,,
1402,,-1172,-1535,-2707,-484,,,,71287.376,0.002,1402.772912,0.000039,,,,,,,
30,3.087%,,,,,0.3151,6292.73,0.20990,71287.5743,,1402.7690089,,,,,,,,
29,4.683%,,,,,0.1585,3257.05,0.10864,71287.4731,,1402.7710015,,,,,,,,
28,92.230%,,,,,,0.00,0.00000,71287.3644,,1402.7731393,,,,,,,,
,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,
Berengut:2003:022502,http://adsabs.harvard.edu/abs/2003PhRvA..68b2502B,,,,,,,,,,,,,,,,,,
Griesmann:2000:L113,http://adsabs.harvard.edu/abs/2000ApJ...536L.113G,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,
